Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,4202000000.0,2929000000.0,1274000000.0,1062369000.0,920982000.0,100000000.0,31000000.0,102811000.0,852000000.0,77000000.0,774398000.0,774000000.0,5.66,0.3032,0.2192,0.2028,0.1842,-0.3491,1458000000.0,920982000.0,5.656,,5.6667,,5.6667,774398000.0,,774000000.0,0.347,0.2326,ATO
2022-06-30 00:00:00,4047000000.0,2800000000.0,1248000000.0,1045227000.0,906544000.0,85000000.0,6000000.0,89455000.0,828000000.0,76000000.0,751475000.0,751000000.0,5.52,0.3084,0.224,0.2046,0.1856,-0.3296,1428000000.0,906544100.0,5.485,,5.496,,5.496,751475000.0,,751000000.0,0.3529,0.248,ATO
2022-03-31 00:00:00,3836553000.0,2320870000.0,1515683000.0,1032720000.0,885347000.0,79000000.0,-21075000.0,84227000.0,804315000.0,78904000.0,725339000.0,725341000.0,5.38,0.3951,0.2308,0.2096,0.1891,-0.3533,1391738000.0,885347100.0,5.3472,,5.3566,,5.3566,725339000.0,,725411000.0,0.3628,0.2498,ATO
2021-12-31 00:00:00,3505626000.0,1726679000.0,1778947000.0,1017609000.0,882019000.0,76000000.0,-48337000.0,81395000.0,801857000.0,104692000.0,697094000.0,697095000.0,5.31,0.5075,0.2516,0.2287,0.1989,-0.9631,1373178000.0,882019100.0,5.2768,,5.2791,,5.2791,697094000.0,,697165000.0,0.3917,-0.3365,ATO
2021-09-30 00:00:00,3407106000.0,1356939000.0,2050167000.0,991798000.0,904998000.0,78000000.0,-72275000.0,83554000.0,819759000.0,153916000.0,665563000.0,665773000.0,5.16,0.6017,0.2656,0.2406,0.1954,-0.8963,1383303000.0,904998100.0,5.1262,,5.1284,,5.1284,665563000.0,,665843000.0,0.406,-0.3182,ATO
2021-06-30 00:00:00,3314020100.0,966970000.0,2347050100.0,967156000.0,914878900.0,85000000.0,-71731000.0,84562000.0,843148000.0,160972000.0,682176000.0,682106000.0,5.32,0.7082,0.2761,0.2544,0.2058,-0.8763,1391436900.0,914878900.0,5.3067,,5.3065,,5.3065,682176000.0,,682176000.0,0.4199,-0.3066,ATO
2021-03-31 00:00:00,3201462100.0,906172000.0,2295290100.0,921995000.0,920523900.0,84000000.0,-69001000.0,83180000.0,851523000.0,153967000.0,697556000.0,697556000.0,5.5,0.717,0.2875,0.266,0.2179,-0.8698,1384837900.0,920523900.0,5.4852,,5.4843,,5.4843,697556000.0,,697556000.0,0.4326,-0.3117,ATO
2020-12-31 00:00:00,2860054100.0,650246000.0,2209808100.0,899599000.0,870157900.0,80000000.0,-70899000.0,79255000.0,799259000.0,158811000.0,640448000.0,640448000.0,5.15,0.7726,0.3042,0.2795,0.2239,-0.2939,1321751900.0,870157900.0,5.1361,,5.1364,,5.1364,640448000.0,,640448000.0,0.4621,0.3576,ATO
2020-09-30 00:00:00,2821137100.0,658854000.0,2162283000.0,908356000.0,824098900.0,84829000.0,-77303000.0,84474000.0,746796000.0,145353000.0,601443000.0,601443000.0,4.91,0.7665,0.2921,0.2647,0.2132,-0.3182,1265469900.0,824098900.0,4.8949,,4.8982,,4.8982,601443000.0,,601443000.0,0.4486,0.3679,ATO
2020-06-30 00:00:00,2789905900.0,654493000.0,2135412700.0,903443000.0,812968800.0,,-79360000.0,97743000.0,733609000.0,139093000.0,594516000.0,594885000.0,4.87,0.7654,0.2914,0.263,0.2132,-0.3027,1241433800.0,812968800.0,4.8427,,4.8516,,4.8516,594516000.0,,594516000.0,0.445,0.3783,ATO
2020-03-31 00:00:00,2782648900.0,659747000.0,2122901700.0,917169000.0,796135800.0,,-84962000.0,97755000.0,711174000.0,153983000.0,557191000.0,557496000.0,4.59,0.7629,0.2861,0.2556,0.2003,-0.3123,1215196800.0,796135800.0,4.5647,,4.5757,,4.5757,557191000.0,,557191000.0,0.4367,0.3744,ATO
2019-12-31 00:00:00,2899628900.0,813540000.0,2086088700.0,923261000.0,762374800.0,,-82519000.0,102533000.0,679856000.0,147423000.0,532433000.0,532568000.0,4.47,0.7194,0.2629,0.2345,0.1837,-0.2862,1172291800.0,762374800.0,4.4412,,4.4536,,4.4536,532433000.0,,532433000.0,0.4043,0.3368,ATO
2019-09-30 00:00:00,2901847900.0,858837000.0,2043010800.0,905497000.0,746057900.0,,-95749000.0,103153000.0,650309000.0,138903000.0,511406000.0,511406000.0,4.38,0.704,0.2571,0.2241,0.1762,-0.2497,1146977900.0,746057900.0,4.3538,,4.3636,,4.3636,511406000.0,,511406000.0,0.3953,0.3338,ATO
2019-06-30 00:00:00,2902864700.0,888252000.0,2014612700.0,884447000.0,746971900.0,,-102810000.0,98874000.0,644162000.0,152415000.0,491747000.0,491706000.0,4.24,0.694,0.2573,0.2219,0.1694,-0.2343,1138030900.0,746972000.0,4.1893,,4.1945,,4.1945,491747000.0,,491747000.0,0.392,0.3095,ATO
2019-03-31 00:00:00,2979371700.0,987812000.0,1991559700.0,866305000.0,749089900.0,,-111542000.0,102631000.0,637548000.0,155074000.0,482474000.0,482497000.0,4.2,0.6684,0.2514,0.214,0.1619,-0.2081,1133119900.0,749090000.0,4.1464,,4.1495,,4.1495,482474000.0,,482474000.0,0.3803,0.3135,ATO
2018-12-31 00:00:00,3104135700.0,1143096000.0,1961039700.0,869951000.0,722314900.0,,-118296000.0,102986000.0,604019000.0,157441000.0,446578000.0,446771000.0,3.97,0.6318,0.2327,0.1946,0.1439,-0.1239,1098954000.0,722315000.0,3.9238,,3.9242,,3.9242,446578000.0,,446578000.0,0.354,0.3596,ATO
2018-09-30 00:00:00,3115545700.0,1167848000.0,1947697700.0,858681000.0,727933700.0,,-116790000.0,106646000.0,611144000.0,8080000.0,603064000.0,603064000.0,5.48,0.6252,0.2336,0.1962,0.1936,-0.1101,1096881800.0,727933800.0,5.4324,,5.4324,,5.4324,603064000.0,,603064000.0,0.3521,0.361,ATO
2018-06-30 00:00:00,3135726100.0,1197324000.0,1938402100.0,847997000.0,737179100.0,,-134828000.0,115872000.0,602351000.0,2181000.0,600170000.0,599597000.0,5.47,0.6182,0.2351,0.1921,0.1912,-0.0818,1096874100.0,737179100.0,5.4623,,5.4602,,5.4623,600170000.0,,600158000.0,0.3498,0.3689,ATO
2018-03-31 00:00:00,3099982100.0,1180614000.0,1919368100.0,823267000.0,753523100.0,,-136936000.0,121021000.0,616587000.0,16802000.0,599785000.0,599137000.0,5.5,0.6192,0.2431,0.1989,0.1933,-0.0652,1102570100.0,753523100.0,5.4958,,5.4894,,5.4958,599785000.0,,599773000.0,0.3557,0.344,ATO
2017-12-31 00:00:00,2868759100.0,981148000.0,1887611100.0,788954000.0,767793100.0,,-133576000.0,120661000.0,634217000.0,51412000.0,582805000.0,584873000.0,5.45,0.658,0.2676,0.2211,0.2039,-0.1042,1105126000.0,767793100.0,5.4135,,5.4421,,5.4135,582805000.0,,585509000.0,0.3852,0.3219,ATO
2017-09-30 00:00:00,2759735100.0,925536000.0,1834199100.0,779123000.0,735628200.0,,-131534000.0,120182000.0,604094000.0,221383000.0,382711000.0,395934000.0,3.75,0.6646,0.2666,0.2189,0.1435,-0.0978,1061730100.0,735628200.0,3.6,0.1272,3.7362,0.1272,3.6,382711000.0,13088000.0,396409000.0,0.3847,0.3142,ATO
2017-06-30 00:00:00,2728498000.0,916901900.0,1811596100.0,780881000.0,720203100.0,,-117103000.0,116509000.0,603100000.0,221392000.0,381708000.0,394566000.0,3.74,0.664,0.264,0.221,0.1446,-0.0729,1031462100.0,720203000.0,3.5814,,3.725,,3.5814,381708000.0,,394808000.0,0.378,0.3337,ATO
2017-03-31 00:00:00,2658209000.0,867308900.0,1790900100.0,779596000.0,707935100.0,,-114877000.0,115690000.0,593058000.0,216015000.0,377043000.0,395026000.0,3.76,0.6737,0.2663,0.2231,0.1486,-0.0814,1012630100.0,707935000.0,3.5514,0.1872,3.7455,0.1872,3.5514,377043000.0,18150000.0,395193000.0,0.3809,0.3363,ATO
2016-12-31 00:00:00,2560063000.0,817170900.0,1742892100.0,771380000.0,674419000.0,,-116654000.0,116305000.0,557765000.0,199731000.0,358034000.0,372108000.0,3.59,0.6808,0.2634,0.2179,0.1454,-0.0987,973419000.0,674418900.0,3.4214,0.1472,3.568,0.1472,3.4214,358034000.0,14241000.0,372275000.0,0.3802,0.3288,ATO
2016-09-30 00:00:00,2454648000.0,746191900.0,1708456100.0,760435000.0,657230000.0,,-115046000.0,114812000.0,542184000.0,196642000.0,345542000.0,350104000.0,3.4,0.696,0.2677,0.2209,0.1426,-0.1189,950326000.0,657229900.0,3.33,0.05,3.3818,0.05,3.33,345542000.0,4562000.0,350104000.0,0.3872,0.3239,ATO
2016-06-30 00:00:00,2677907000.0,-181598000.0,2859505000.0,731607000.0,1844621900.0,,-114125000.0,115850000.0,1144818000.0,190591000.0,967594000.0,339379000.0,3.3,1.0678,0.4592,0.4275,0.1267,-0.135,2132028900.0,1229682900.0,9.4438,0.0628,9.4903,0.1128,9.4438,967594000.0,10466000.0,972766000.0,0.7962,0.2705,ATO
2016-03-31 00:00:00,2908096000.0,58547000.0,2849549000.0,736876000.0,1833832900.0,,-114885000.0,116126000.0,1133269000.0,188904000.0,957732000.0,324356000.0,3.16,0.9799,0.4191,0.3897,0.1115,-0.1148,2116224900.0,1218893900.0,9.3556,0.0728,9.3559,0.1028,9.3556,957732000.0,9501000.0,957854000.0,0.7277,0.249,ATO
2015-12-31 00:00:00,3558124000.0,700521000.0,2857603000.0,749745000.0,1832387100.0,,-116005000.0,116014000.0,1130703000.0,191657000.0,952413000.0,320230000.0,3.13,0.8031,0.3422,0.3178,0.09,-0.0388,2110829100.0,1217448100.0,9.3188,0.1228,9.3316,0.1528,9.3188,952413000.0,13811000.0,953728000.0,0.5932,0.2402,ATO
2015-09-30 00:00:00,4142136000.0,1295675000.0,2846461000.0,746670000.0,1827383100.0,,-117060000.0,116241000.0,1124644000.0,189549000.0,948462000.0,314964000.0,3.09,0.6872,0.2927,0.2715,0.076,-0.0366,2102179100.0,1212444100.0,9.291,,9.291,,9.291,948462000.0,,948462000.0,0.5075,0.196,ATO
2015-06-30 00:00:00,4274268100.0,2610913200.0,1663354900.0,751554000.0,639486100.0,,-122752000.0,118905000.0,516734000.0,201461000.0,315273000.0,315123000.0,3.1,0.3892,0.1496,0.1209,0.0737,-0.0279,911801100.0,639486100.0,3.0489,,3.0489,,3.0489,315273000.0,,315273000.0,0.2133,0.1919,ATO
2015-03-31 00:00:00,4531037100.0,2889822200.0,1641214900.0,744905000.0,628484100.0,,-127645000.0,122790000.0,500839000.0,196126000.0,304713000.0,304568000.0,3.0,0.3622,0.1387,0.1105,0.0672,-0.0275,896310100.0,628484100.0,2.9491,,2.9491,,2.9491,304713000.0,,304713000.0,0.1978,0.1727,ATO
2014-12-31 00:00:00,4955823100.0,3339069200.0,1616754000.0,727289000.0,628354100.0,,-131754000.0,126944000.0,496600000.0,196204000.0,300396000.0,299917000.0,3.05,0.3262,0.1268,0.1002,0.0605,-0.0362,889465100.0,628354100.0,2.9826,,2.9826,,2.9826,300396000.0,,300396000.0,0.1795,0.1465,ATO
2014-09-30 00:00:00,4940916100.0,3358490100.0,1582426100.0,717090000.0,611349200.0,,-134530000.0,129295000.0,476819000.0,187002000.0,289817000.0,289106000.0,3.05,0.3203,0.1237,0.0965,0.0585,-0.0185,865336200.0,611349200.0,2.9692,,2.9693,,2.9693,289817000.0,,289817000.0,0.1751,0.1483,ATO
2014-06-30 00:00:00,4826255900.0,3281048800.0,1545207200.0,721497000.0,577788100.0,,-133509000.0,127347000.0,444279000.0,170639000.0,273640000.0,272968000.0,2.89,0.3202,0.1197,0.0921,0.0566,0.0148,823710100.0,577788100.0,2.8461,,2.868,,2.8662,273640000.0,,273640000.0,0.1707,0.152,ATO
2014-03-31 00:00:00,4741020900.0,3238849800.0,1502171100.0,704496000.0,557579000.0,,-134503000.0,128248000.0,423076000.0,161683000.0,261393000.0,266121000.0,2.87,0.3168,0.1176,0.0892,0.0561,0.0139,797675000.0,557579000.0,2.7541,,2.8439,,2.7842,261393000.0,,266687000.0,0.1682,0.1535,ATO
2013-12-31 00:00:00,4085162900.0,2646517800.0,1438645000.0,684999000.0,517676900.0,,-133005000.0,129978000.0,384672000.0,144306000.0,240366000.0,249513000.0,2.75,0.3522,0.1267,0.0942,0.0611,-0.0159,754573900.0,517676900.0,2.5974,,2.7432,,2.6375,240366000.0,,249745000.0,0.1847,0.1512,ATO
2013-09-30 00:00:00,3875459900.0,2463409900.0,1412049900.0,675092000.0,501878900.0,,-128582000.0,128385000.0,373297000.0,142599000.0,230698000.0,243194000.0,2.68,0.3644,0.1295,0.0963,0.0628,-0.0204,738806900.0,501878900.0,2.5,0.14,2.6862,,2.54,230698000.0,,243194000.0,0.1906,0.1582,ATO
2013-06-30 00:00:00,3751331000.0,2390332100.0,1360998800.0,645753000.0,474286800.0,,-139606000.0,130490000.0,334681000.0,111805000.0,222876000.0,243625000.0,2.69,0.3628,0.1264,0.0892,0.0649,-0.064,713232800.0,474286900.0,2.43,0.22,2.6918,0.23,2.47,222876000.0,20749000.0,243625000.0,0.1901,0.154,ATO
2013-03-31 00:00:00,3469810000.0,2132137100.0,1337672900.0,626450000.0,469437000.0,,-143382000.0,132658000.0,326055000.0,108639000.0,217416000.0,235989000.0,2.6,0.3855,0.1353,0.094,0.068,-0.06,711606000.0,469437100.0,2.38,0.19,2.6094,0.2,2.41,217416000.0,18573000.0,235989000.0,0.2051,0.1737,ATO
2012-12-31 00:00:00,3386323000.0,2055614100.0,1330708900.0,624992000.0,461691000.0,,-147900000.0,135970000.0,313791000.0,106631000.0,207160000.0,228675000.0,2.52,0.393,0.1363,0.0927,0.0675,-0.0904,707551000.0,461691100.0,2.27,0.23,2.5355,0.24,2.29,207160000.0,21515000.0,228675000.0,0.2089,0.1821,ATO
