Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,Income (Other),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-08-31 00:00:00,6385000000.0,4029000000.0,2358000000.0,1409500100.0,875500400.0,151000000.0,160000000.0,105100000.0,,833000000.0,172000000.0,660100000.0,694000000.0,2.56,0.3693,0.1371,0.1305,0.1087,0.0706,1143000000.0,875500200.0,2.4433,2.4638,2.4638,660100000.0,694000000.0,0.179,0.1105,MKC
2022-05-31 00:00:00,6338000000.0,3949000000.0,2392000000.0,1408400100.0,905500500.0,147000000.0,92000000.0,134000000.0,,793000000.0,145000000.0,648000000.0,683000000.0,2.53,0.3774,0.1429,0.1251,0.1078,0.0769,1175000000.0,905500300.0,2.3991,2.4213,2.4213,648000000.0,683000000.0,0.1854,0.119,MKC
2022-02-28 00:00:00,6357700000.0,3877100000.0,2483600000.0,1415800100.0,985700400.0,147000000.0,38300000.0,135900000.0,29700000.0,868700000.0,168400000.0,700200000.0,747700000.0,2.78,0.3906,0.155,0.1366,0.1176,0.0952,1233200000.0,985700200.0,2.5932,2.6181,2.6181,700200000.0,724300000.0,0.194,0.1382,MKC
2021-11-30 00:00:00,6317200000.0,3819100000.0,2500100000.0,1403800100.0,1015100300.0,147000000.0,-15900000.0,136600000.0,,895800000.0,193000000.0,703100000.0,754500000.0,2.82,0.3958,0.1607,0.1418,0.1194,0.0871,1247899900.0,1015100100.0,2.6051,2.6304,2.6304,703100000.0,717800000.0,0.1975,0.1311,MKC
2021-08-31 00:00:00,6145100000.0,3693300000.0,2452800000.0,1375399900.0,1013800100.0,146000000.0,-79200000.0,135700000.0,,895400000.0,193500000.0,702200000.0,758200100.0,2.84,0.3991,0.165,0.1457,0.1234,0.0843,1207900100.0,1013800000.0,2.6024,2.6281,2.6281,702200000.0,710900000.0,0.1966,0.1282,MKC
2021-05-31 00:00:00,6026400000.0,3583300000.0,2443100000.0,1365599900.0,1021600100.0,145000000.0,-117800000.0,135300000.0,,903800000.0,208400000.0,695400000.0,752300100.0,2.825,0.4054,0.1695,0.15,0.1248,0.1101,1203300200.0,1021600000.0,2.5783,2.6046,2.6046,695400000.0,695400000.0,0.1997,0.1517,MKC
2021-02-28 00:00:00,5870800000.0,3462800000.0,2408000000.0,1328199900.0,1041600000.0,142000000.0,-117400000.0,134100000.0,,924200000.0,203400000.0,720800000.0,764500100.0,2.87,0.4102,0.1774,0.1574,0.1302,0.1242,1219100100.0,1041599900.0,2.6762,2.7025,2.7025,720800000.0,720800000.0,0.2077,0.1643,MKC
2020-11-30 00:00:00,5601300000.0,3300900000.0,2300400000.0,1281599900.0,999500100.0,143000000.0,-118000000.0,135600000.0,,881500000.0,174900000.0,706600000.0,747400100.0,2.805,0.4107,0.1784,0.1574,0.1334,0.1457,1164500200.0,999500000.0,2.6258,2.6514,2.6514,706600000.0,706600000.0,0.2079,0.1859,MKC
2020-08-31 00:00:00,5528200000.0,3258500000.0,2269699800.0,1238000100.0,1023799600.0,,-121800000.0,141700000.0,26500000.0,902000000.0,183800000.0,718200100.0,760100000.0,2.855,0.4106,0.1852,0.1632,0.1375,0.1568,1188499600.0,1023799600.0,2.6718,2.6991,2.6991,718200000.0,718200000.0,0.215,0.1952,MKC
2020-05-31 00:00:00,5427100000.0,3207800000.0,2219299800.0,1199500100.0,1004299500.0,,-126600000.0,149500000.0,,877700000.0,173700000.0,704000100.0,745900000.0,2.805,0.4089,0.1851,0.1617,0.1374,0.144,1165599500.0,1004299500.0,2.6221,2.6487,2.6487,704000000.0,704000000.0,0.2148,0.1821,MKC
2020-02-29 00:00:00,5327900000.0,3179600000.0,2148299800.0,1173600100.0,954999700.0,,-131400000.0,157500000.0,,823600000.0,165400000.0,658200100.0,699400000.0,2.635,0.4032,0.1792,0.1546,0.1313,0.1316,1115399700.0,954999700.0,2.4529,2.4798,2.4798,658200000.0,658200000.0,0.2094,0.1667,MKC
2019-11-30 00:00:00,5347400000.0,3202100000.0,2145299800.0,1166800100.0,957699700.0,,-138500000.0,165200000.0,,819200000.0,157400000.0,661800100.0,702700000.0,2.65,0.4012,0.1791,0.1532,0.1314,0.1446,1116499700.0,957699700.0,2.4684,2.4965,2.4965,661800000.0,661800000.0,0.2088,0.1771,MKC
2019-08-31 00:00:00,5330500000.0,3210200000.0,2120299800.0,1150600000.0,950000200.0,,-140000000.0,170600000.0,,810000000.0,146800000.0,663200000.0,703300000.0,2.66,0.3978,0.1782,0.152,0.1319,0.1432,1107100200.0,950000200.0,2.4735,2.5042,2.5042,663200000.0,663200000.0,0.2077,0.1739,MKC
2019-05-31 00:00:00,5319500000.0,3216600000.0,2102899700.0,1155600000.0,926400100.0,,-145500000.0,174000000.0,,780900000.0,134900000.0,646000000.0,684900000.0,2.595,0.3953,0.1742,0.1468,0.1288,0.1386,1082000100.0,926400100.0,2.414,2.4451,2.4451,646000000.0,646000000.0,0.2034,0.1693,MKC
2019-02-28 00:00:00,5318900000.0,3219100000.0,2099799700.0,1162900000.0,906900100.0,,-149000000.0,175800000.0,,757900000.0,135900000.0,622000000.0,658800000.0,2.5,0.3948,0.1705,0.1425,0.1239,0.147,1061300100.0,906900100.0,2.3276,2.3574,2.3574,622000000.0,622000000.0,0.1995,0.1777,MKC
2018-11-30 00:00:00,5302800000.0,3209500000.0,2093299700.0,1163400000.0,891100100.0,,-149800000.0,174600000.0,,741300000.0,-157300000.0,898600000.0,933400000.0,3.55,0.3948,0.168,0.1398,0.176,0.123,1041800100.0,891100100.0,3.3717,3.4154,3.4154,898600000.0,898600000.0,0.1965,0.1549,MKC
2018-08-31 00:00:00,5222000000.0,3281700000.0,1940299700.0,1014900000.0,863899800.0,,-158400000.0,175500000.0,,705500000.0,-155400000.0,860900000.0,895100000.0,3.41,0.3716,0.1654,0.1351,0.1714,0.1369,1031999800.0,863899900.0,3.2477,3.2878,3.2878,860900000.0,860900000.0,0.1976,0.1726,MKC
2018-05-31 00:00:00,5089000000.0,3186800000.0,1902199800.0,1017700000.0,802699900.0,,-154200000.0,167700000.0,,648500000.0,-147300000.0,795800000.0,829800000.0,3.18,0.3738,0.1577,0.1274,0.1631,0.1369,964799900.0,802700000.0,3.0192,3.0564,3.0564,795800000.0,795800000.0,0.1896,0.1715,MKC
2018-02-28 00:00:00,4902000000.0,3060600000.0,1841399800.0,1024400000.0,746699800.0,,-128300000.0,138400000.0,,618400000.0,-153100000.0,771500000.0,806500000.0,3.11,0.3756,0.1523,0.1262,0.1645,0.1154,901099800.0,746699900.0,2.9455,2.9827,2.9827,771500000.0,771500000.0,0.1838,0.1531,MKC
2017-11-30 00:00:00,4730300000.0,2936300000.0,1793999700.0,1031200000.0,699799800.0,,-105000000.0,111100000.0,,594800000.0,151300000.0,443500000.0,477400000.0,1.875,0.3793,0.1479,0.1257,0.1009,0.1338,845899800.0,699799900.0,1.7269,1.7488,1.7488,443500000.0,443500000.0,0.1788,0.1724,MKC
2017-08-31 00:00:00,4570200000.0,2688200100.0,1881999800.0,1184000100.0,654600000.0,,-75900000.0,80600000.0,,578700000.0,155100000.0,423600000.0,459100000.0,1.83,0.4118,0.1432,0.1266,0.1005,0.1018,770600000.0,654600000.0,1.6639,1.6849,1.6849,423600000.0,423600000.0,0.1686,0.1398,MKC
2017-05-31 00:00:00,4476000000.0,2624500100.0,1851499800.0,1179300100.0,653700000.0,,-54100000.0,57800000.0,,599600000.0,156400000.0,443200000.0,478600000.0,1.905,0.4137,0.146,0.134,0.1069,0.1022,767500100.0,653700000.0,1.7403,1.7621,1.7621,443200000.0,443200000.0,0.1715,0.1391,MKC
2017-02-28 00:00:00,4425000000.0,2585300100.0,1839699800.0,1175900100.0,646100000.0,,-53400000.0,56600000.0,,592700000.0,155000000.0,437700000.0,472400000.0,1.875,0.4158,0.146,0.1339,0.1068,0.1051,756700100.0,646100000.0,1.7135,1.734,1.734,437700000.0,437700000.0,0.171,0.141,MKC
2016-11-30 00:00:00,4411500000.0,2579800100.0,1831699800.0,1175000100.0,641000000.0,,-51800000.0,56000000.0,,589200000.0,153000000.0,436200000.0,472300000.0,1.865,0.4152,0.1453,0.1336,0.1071,0.1147,749700100.0,641000000.0,1.704,1.7227,1.7227,436200000.0,436200000.0,0.1699,0.1492,MKC
2016-08-31 00:00:00,4386400000.0,2573000000.0,1813399700.0,1167100000.0,634100000.0,,-53000000.0,55500000.0,,581100000.0,150900000.0,430200000.0,464100000.0,1.825,0.4134,0.1446,0.1325,0.1058,0.1027,743600100.0,634100000.0,1.674,1.6918,1.6918,430200000.0,430200000.0,0.1695,0.1358,MKC
2016-05-31 00:00:00,4355300000.0,2573900000.0,1781399700.0,1156800000.0,605000000.0,,-52500000.0,55000000.0,,552500000.0,154000000.0,398500000.0,434000000.0,1.7,0.409,0.1389,0.1269,0.0996,0.1098,711400000.0,605000000.0,1.5466,1.5621,1.5621,398500000.0,398500000.0,0.1633,0.1416,MKC
2016-02-29 00:00:00,4316100000.0,2563500000.0,1752599700.0,1134100000.0,583800000.0,,-51900000.0,54300000.0,,531900000.0,142600000.0,389300000.0,424500000.0,1.66,0.4061,0.1353,0.1232,0.0984,0.1015,691200000.0,583800000.0,1.5092,1.5235,1.5235,389300000.0,389300000.0,0.1601,0.1327,MKC
2015-11-30 00:00:00,4296300000.0,2559000000.0,1737299800.0,1127400000.0,548400000.0,,-52200000.0,53300000.0,,496200000.0,131300000.0,364900000.0,401600000.0,1.57,0.4044,0.1276,0.1155,0.0935,0.1075,654300000.0,548400000.0,1.4122,1.4254,1.4254,364900000.0,364900000.0,0.1523,0.1373,MKC
2015-08-31 00:00:00,4268000000.0,2546300000.0,1721700000.0,1124100000.0,535600000.0,,-51000000.0,51900000.0,,484600000.0,120500000.0,364100000.0,400400000.0,1.56,0.4034,0.1255,0.1135,0.0938,0.0985,638900000.0,535600200.0,1.3802,1.3928,1.3928,357900000.0,357900000.0,0.1497,0.1276,MKC
2015-05-31 00:00:00,4250900000.0,2531000000.0,1719900000.0,1113100000.0,554200000.0,,-49700000.0,50700000.0,,504500000.0,114200000.0,390300000.0,425700000.0,1.655,0.4046,0.1304,0.1187,0.1001,0.0894,655900100.0,554200200.0,1.4768,1.4896,1.4896,384100000.0,384100000.0,0.1543,0.1194,MKC
2015-02-28 00:00:00,4260200000.0,2531800000.0,1728400000.0,1122700000.0,572100000.0,,-49500000.0,50200000.0,,522600000.0,130900000.0,391700000.0,425900000.0,1.65,0.4057,0.1343,0.1227,0.1,0.0924,672900100.0,572100200.0,1.5007,1.5135,1.5135,391700000.0,391700000.0,0.158,0.1227,MKC
2014-11-30 00:00:00,4243200000.0,2513000000.0,1730200000.0,1122000000.0,603000000.0,,-48600000.0,49700000.0,,554400000.0,145900000.0,408500000.0,437900000.0,1.69,0.4078,0.1421,0.1307,0.1032,0.0877,705700100.0,603000200.0,1.5591,1.5724,1.5724,408500000.0,408500000.0,0.1663,0.1187,MKC
2014-08-31 00:00:00,4239600000.0,2513400100.0,1726199800.0,1105900000.0,577699700.0,,-47900000.0,49200000.0,,529800000.0,136900000.0,392900000.0,419900000.0,1.61,0.4072,0.1363,0.125,0.099,0.0922,684899800.0,577699700.0,1.5127,1.5266,1.5266,399100000.0,399100000.0,0.1615,0.1211,MKC
2014-05-31 00:00:00,4213200000.0,2499500100.0,1713699800.0,1104600000.0,568799700.0,,-49500000.0,50800000.0,23500000.0,519300000.0,141100000.0,378200000.0,401400000.0,1.53,0.4067,0.135,0.1233,0.0953,0.0957,676599700.0,568799700.0,1.4482,1.4626,1.4626,384400000.0,384400000.0,0.1606,0.1221,MKC
2014-02-28 00:00:00,4182400000.0,2486800100.0,1695599800.0,1092200000.0,563099700.0,,-50000000.0,51800000.0,,513100000.0,140500000.0,372600000.0,395500000.0,1.505,0.4054,0.1346,0.1227,0.0946,0.0969,669699700.0,563099700.0,1.3983,1.4133,1.4133,372600000.0,372600000.0,0.1601,0.122,MKC
2013-11-30 00:00:00,4123400000.0,2457600100.0,1665799800.0,1075000000.0,550499700.0,,-51100000.0,53300000.0,,499400000.0,133600000.0,365800000.0,389000000.0,1.475,0.404,0.1335,0.1211,0.0943,0.0892,656499700.0,550499700.0,1.369,1.3845,1.3845,365800000.0,365800000.0,0.1592,0.1128,MKC
2013-08-31 00:00:00,4099200000.0,2453099900.0,1646100100.0,1069400000.0,576700100.0,,-53000000.0,55400000.0,,523700000.0,140000000.0,383700000.0,407500000.0,1.54,0.4016,0.1407,0.1278,0.0994,0.0797,679600100.0,576700000.0,1.4156,1.4324,1.4324,379100000.0,379100000.0,0.1658,0.1039,MKC
2013-05-31 00:00:00,4060500000.0,2430299900.0,1630200100.0,1057700000.0,572500100.0,,-51600000.0,54600000.0,,520900000.0,137700000.0,383200000.0,407500000.0,1.54,0.4015,0.141,0.1283,0.1004,0.0829,676400100.0,572500000.0,1.4115,1.4288,1.4288,378600000.0,378600000.0,0.1666,0.1092,MKC
2013-02-28 00:00:00,4041900000.0,2417699900.0,1624200100.0,1046400000.0,577800100.0,,-52900000.0,55000000.0,,524900000.0,137900000.0,387000000.0,409300000.0,1.545,0.4018,0.143,0.1299,0.1013,0.0889,681000200.0,577800000.0,1.4246,1.4421,1.4421,382400000.0,382400000.0,0.1685,0.1148,MKC
2012-11-30 00:00:00,4014200000.0,2396399900.0,1617800100.0,1039500000.0,578300100.0,,-52200000.0,54600000.0,,526100000.0,139800000.0,386300000.0,407800000.0,1.54,0.403,0.1441,0.1311,0.1016,0.0862,681100200.0,578300000.0,1.4382,1.4556,1.4556,386300000.0,386300000.0,0.1697,0.1133,MKC
