Date,Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,14414000000.0,14414000000.0,8776000000.0,3607000000.0,588000000.0,-178000000.0,178000000.0,3429000000.0,663000000.0,2766000000.0,2766000000.0,24.5,1.0,0.291,0.2379,0.1919,0.3523,4187000000.0,4195000000.0,23.9183,,24.4171,,24.4171,2766000000.0,,2766000000.0,0.2905,0.3634,AMP
2022-06-30 00:00:00,13826000000.0,13826000000.0,8763000000.0,4204000000.0,603000000.0,-190000000.0,190000000.0,4014000000.0,765000000.0,3249000000.0,3249000000.0,28.4,1.0,0.3477,0.2903,0.235,0.3082,4781000000.0,4807000000.0,27.7051,,28.3152,,28.3152,3249000000.0,,3249000000.0,0.3458,0.319,AMP
2022-03-31 00:00:00,13736000000.0,13736000000.0,8696000000.0,3969000000.0,582000000.0,-189000000.0,189000000.0,3780000000.0,696000000.0,3084000000.0,3084000000.0,26.66,1.0,0.3313,0.2752,0.2245,0.3366,4577000000.0,4551000000.0,25.9729,,26.5748,,26.5748,3084000000.0,,3084000000.0,0.3332,0.347,AMP
2021-12-31 00:00:00,13431000000.0,13431000000.0,8450000000.0,3541000000.0,600000000.0,-191000000.0,191000000.0,3350000000.0,590000000.0,2760000000.0,2760000000.0,23.62,1.0,0.3083,0.2494,0.2055,0.2407,4239000000.0,4141000000.0,22.9999,,23.5294,,23.5294,2760000000.0,,2760000000.0,0.3156,0.2496,AMP
2021-09-30 00:00:00,12854000000.0,12854000000.0,8092000000.0,2861000000.0,576000000.0,-187000000.0,187000000.0,2674000000.0,438000000.0,2236000000.0,2236000000.0,18.96,1.0,0.2674,0.208,0.174,0.0449,3589000000.0,3437000000.0,18.8157,,19.2303,,19.2303,2236000000.0,,2236000000.0,0.2792,0.0547,AMP
2021-06-30 00:00:00,12954000000.0,12954000000.0,7776000000.0,1380000000.0,574000000.0,-160000000.0,160000000.0,1220000000.0,155000000.0,1065000000.0,1065000000.0,8.96,1.0,0.1508,0.0942,0.0822,0.0549,2185000000.0,1954000000.0,9.0455,,9.2347,,9.2347,1065000000.0,,1065000000.0,0.1687,0.0657,AMP
2021-03-31 00:00:00,12248000000.0,12248000000.0,7429000000.0,131000000.0,712000000.0,-158000000.0,158000000.0,-27000000.0,38000000.0,-65000000.0,-65000000.0,-0.34,1.0,0.0688,-0.0022,-0.0053,-0.1151,1063000000.0,843000000.0,-0.1017,,-0.0689,,-0.0689,-65000000.0,,-65000000.0,0.0868,-0.1037,AMP
2020-12-31 00:00:00,11899000000.0,11899000000.0,7179000000.0,1993000000.0,644000000.0,-162000000.0,162000000.0,1831000000.0,297000000.0,1534000000.0,1534000000.0,12.12,1.0,0.2216,0.1539,0.1289,0.3762,2844000000.0,2637000000.0,12.2036,,12.391,,12.391,1534000000.0,,1534000000.0,0.239,0.3885,AMP
2020-09-30 00:00:00,12003000000.0,12003000000.0,7085000000.0,2349000000.0,675000000.0,-174000000.0,174000000.0,2175000000.0,355000000.0,1820000000.0,1820000000.0,14.25,1.0,0.2519,0.1812,0.1516,0.4379,3225000000.0,3024000000.0,13.9868,,14.221,,14.221,1820000000.0,,1820000000.0,0.2687,0.4504,AMP
2020-06-30 00:00:00,12317000000.0,12317000000.0,7085000000.0,3189000000.0,632000000.0,-189000000.0,189000000.0,3000000000.0,497000000.0,2503000000.0,2503000000.0,19.48,1.0,0.3102,0.2436,0.2032,0.4672,4009000000.0,3821000000.0,19.1449,,19.4511,,19.4511,2503000000.0,,2503000000.0,0.3255,0.4784,AMP
2020-03-31 00:00:00,12850000000.0,12850000000.0,7140000000.0,4320000000.0,556000000.0,-207000000.0,207000000.0,4113000000.0,579000000.0,3534000000.0,3534000000.0,27.4,1.0,0.3795,0.3201,0.275,0.5386,5060000000.0,4876000000.0,26.9811,,27.3781,,27.3781,3534000000.0,,3534000000.0,0.3938,0.5496,AMP
2019-12-31 00:00:00,12967000000.0,12967000000.0,7097000000.0,2446000000.0,669000000.0,-214000000.0,214000000.0,2232000000.0,339000000.0,1893000000.0,1893000000.0,14.14,1.0,0.2402,0.1721,0.146,0.1695,3298000000.0,3115000000.0,13.9191,,14.1163,,14.1163,1893000000.0,,1893000000.0,0.2543,0.1805,AMP
2019-09-30 00:00:00,12859000000.0,12859000000.0,6969000000.0,2578000000.0,692000000.0,-228000000.0,228000000.0,2350000000.0,381000000.0,1969000000.0,1969000000.0,14.36,1.0,0.2543,0.1828,0.1531,0.3046,3448000000.0,3270000000.0,14.1868,,14.3626,,14.3626,1969000000.0,,1969000000.0,0.2681,0.3159,AMP
2019-06-30 00:00:00,12834000000.0,12834000000.0,6900000000.0,2523000000.0,743000000.0,-226000000.0,226000000.0,2297000000.0,368000000.0,1929000000.0,1929000000.0,13.75,1.0,0.2545,0.179,0.1503,0.2408,3448000000.0,3266000000.0,13.583,,13.7541,,13.7541,1929000000.0,,1929000000.0,0.2687,0.2533,AMP
2019-03-31 00:00:00,12785000000.0,12785000000.0,6819000000.0,2505000000.0,737000000.0,-247000000.0,247000000.0,2258000000.0,359000000.0,1899000000.0,1899000000.0,13.28,1.0,0.2536,0.1766,0.1485,0.2188,3430000000.0,3242000000.0,13.1185,,13.282,,13.282,1899000000.0,,1899000000.0,0.2683,0.2313,AMP
2018-12-31 00:00:00,12835000000.0,12835000000.0,6808000000.0,2729000000.0,674000000.0,-245000000.0,245000000.0,2484000000.0,386000000.0,2098000000.0,2098000000.0,14.4,1.0,0.2651,0.1935,0.1635,0.1897,3601000000.0,3403000000.0,14.2044,,14.4094,,14.4094,2098000000.0,,2098000000.0,0.2806,0.2023,AMP
2018-09-30 00:00:00,12836000000.0,12836000000.0,6832000000.0,2661000000.0,646000000.0,-234000000.0,234000000.0,2427000000.0,691000000.0,1736000000.0,1736000000.0,11.79,1.0,0.2576,0.1891,0.1352,0.1012,3517000000.0,3307000000.0,11.6092,,11.7973,,11.7973,1736000000.0,,1736000000.0,0.274,0.1132,AMP
2018-06-30 00:00:00,12558000000.0,12558000000.0,6741000000.0,2708000000.0,644000000.0,-236000000.0,236000000.0,2472000000.0,732000000.0,1740000000.0,1740000000.0,11.6,1.0,0.2669,0.1968,0.1386,0.0897,3572000000.0,3352000000.0,11.4383,,11.6276,,11.6276,1740000000.0,,1740000000.0,0.2844,0.1023,AMP
2018-03-31 00:00:00,12374000000.0,12374000000.0,6649000000.0,2643000000.0,635000000.0,-208000000.0,208000000.0,2435000000.0,764000000.0,1671000000.0,1671000000.0,10.99,1.0,0.2649,0.1968,0.135,0.0943,3505000000.0,3278000000.0,10.8328,,11.0185,,11.0185,1671000000.0,,1671000000.0,0.2833,0.1074,AMP
2017-12-31 00:00:00,12132000000.0,12132000000.0,6555000000.0,2421000000.0,656000000.0,-207000000.0,207000000.0,2214000000.0,734000000.0,1480000000.0,1480000000.0,9.58,1.0,0.2536,0.1825,0.122,0.1122,3311000000.0,3077000000.0,9.4447,,9.604,,9.604,1480000000.0,,1480000000.0,0.2729,0.1255,AMP
2017-09-30 00:00:00,12118000000.0,12118000000.0,6521000000.0,2322000000.0,667000000.0,-235000000.0,235000000.0,2087000000.0,385000000.0,1702000000.0,1702000000.0,10.87,1.0,0.2467,0.1722,0.1405,0.1103,3226000000.0,2989000000.0,10.7278,,10.8912,,10.8912,1702000000.0,,1702000000.0,0.2662,0.1228,AMP
2017-06-30 00:00:00,12102000000.0,12102000000.0,6419000000.0,1927000000.0,652000000.0,-235000000.0,235000000.0,1692000000.0,282000000.0,1410000000.0,1410000000.0,8.89,1.0,0.2131,0.1398,0.1165,0.1175,2821000000.0,2579000000.0,8.762,,8.8885,,8.8885,1410000000.0,,1410000000.0,0.2331,0.1281,AMP
2017-03-31 00:00:00,11961000000.0,11961000000.0,6387000000.0,1827000000.0,639000000.0,-236000000.0,236000000.0,1591000000.0,239000000.0,1352000000.0,1352000000.0,8.35,1.0,0.2062,0.133,0.113,0.1358,2712000000.0,2466000000.0,8.2362,,8.3452,,8.3452,1352000000.0,,1352000000.0,0.2267,0.1439,AMP
2016-12-31 00:00:00,11800000000.0,11800000000.0,6284000000.0,1832000000.0,623000000.0,-241000000.0,241000000.0,1591000000.0,278000000.0,1313000000.0,1313000000.0,7.9,1.0,0.2081,0.1348,0.1113,0.1897,2703000000.0,2455000000.0,7.8062,,7.8954,,7.8954,1313000000.0,,1313000000.0,0.2291,0.1975,AMP
2016-09-30 00:00:00,11737000000.0,11737000000.0,6202000000.0,1845000000.0,630000000.0,-276000000.0,276000000.0,1569000000.0,275000000.0,1294000000.0,1271000000.0,7.43,1.0,0.2109,0.1337,0.1083,0.2317,2687000000.0,2475000000.0,7.4985,,7.5828,,7.5828,1294000000.0,,1294000000.0,0.2289,0.2394,AMP
2016-06-30 00:00:00,11625000000.0,11625000000.0,6223000000.0,2116000000.0,640000000.0,-322000000.0,322000000.0,1794000000.0,363000000.0,1431000000.0,1453000000.0,8.32,1.0,0.2371,0.1543,0.125,0.2214,3008000000.0,2756000000.0,8.1285,,8.223,,8.223,1431000000.0,,1431000000.0,0.2588,0.2302,AMP
2016-03-31 00:00:00,11882000000.0,11882000000.0,6284000000.0,2357000000.0,642000000.0,-358000000.0,358000000.0,1999000000.0,427000000.0,1572000000.0,1533000000.0,8.59,1.0,0.2524,0.1682,0.129,0.1863,3246000000.0,2999000000.0,8.7127,,8.8223,,8.8223,1572000000.0,,1572000000.0,0.2732,0.2015,AMP
2015-12-31 00:00:00,12170000000.0,12170000000.0,6358000000.0,2529000000.0,668000000.0,-387000000.0,387000000.0,2142000000.0,455000000.0,1687000000.0,1562000000.0,8.59,1.0,0.2627,0.176,0.1283,0.2102,3445000000.0,3197000000.0,9.1586,,9.2845,,9.2845,1687000000.0,,1687000000.0,0.2831,0.2211,AMP
2015-09-30 00:00:00,12156000000.0,12156000000.0,6350000000.0,2616000000.0,687000000.0,-362000000.0,362000000.0,2254000000.0,493000000.0,1761000000.0,1630000000.0,8.83,1.0,0.2717,0.1854,0.1341,0.18,3587000000.0,3303000000.0,9.2334,,9.5238,,9.3721,1761000000.0,,1760000000.0,0.2951,0.1909,AMP
2015-06-30 00:00:00,12381000000.0,12381000000.0,6370000000.0,2854000000.0,684000000.0,-343000000.0,343000000.0,2511000000.0,537000000.0,1974000000.0,1653000000.0,8.84,1.0,0.2858,0.2028,0.1335,0.2768,3786000000.0,3538000000.0,9.4767,,10.5416,,9.6309,1974000000.0,,1973000000.0,0.3058,0.2881,AMP
2015-03-31 00:00:00,12325000000.0,12325000000.0,6358000000.0,2848000000.0,699000000.0,-333000000.0,333000000.0,2515000000.0,550000000.0,1965000000.0,1612000000.0,8.52,1.0,0.2878,0.2041,0.1308,0.2275,3804000000.0,3547000000.0,8.8331,,10.3753,,8.9811,1965000000.0,,1964000000.0,0.3086,0.2335,AMP
2014-12-31 00:00:00,12268000000.0,12268000000.0,6331000000.0,2875000000.0,713000000.0,-328000000.0,328000000.0,2547000000.0,545000000.0,2002000000.0,1619000000.0,8.46,1.0,0.2925,0.2076,0.132,0.1863,3842000000.0,3588000000.0,8.31,-0.0205,10.4385,-0.0253,8.46,2002000000.0,-4000000.0,2000000000.0,0.3132,0.1955,AMP
2014-09-30 00:00:00,12125000000.0,12125000000.0,6286000000.0,2792000000.0,735000000.0,-324000000.0,324000000.0,2468000000.0,538000000.0,1930000000.0,1490000000.0,7.69,1.0,0.2909,0.2035,0.1229,0.1743,3784000000.0,3527000000.0,7.57,,9.9323,-0.0154,7.7,1930000000.0,-2000000.0,1927000000.0,0.3121,0.1847,AMP
2014-06-30 00:00:00,11827000000.0,11827000000.0,6177000000.0,2663000000.0,771000000.0,-313000000.0,313000000.0,2350000000.0,537000000.0,1813000000.0,1452000000.0,7.38,1.0,0.2904,0.1987,0.1228,0.1449,3686000000.0,3434000000.0,7.26,,9.1938,,7.39,1813000000.0,,1811000000.0,0.3117,0.154,AMP
2014-03-31 00:00:00,11504000000.0,11504000000.0,6069000000.0,2427000000.0,794000000.0,-294000000.0,294000000.0,2133000000.0,505000000.0,1628000000.0,1399000000.0,7.01,1.0,0.28,0.1854,0.1216,0.1872,3465000000.0,3221000000.0,6.89,-0.0203,8.1417,-0.0203,7.02,1628000000.0,-3000000.0,1625000000.0,0.3012,0.1968,AMP
2013-12-31 00:00:00,11199000000.0,11199000000.0,5981000000.0,2251000000.0,806000000.0,-281000000.0,281000000.0,1970000000.0,492000000.0,1478000000.0,1334000000.0,6.57,1.0,0.273,0.1759,0.1191,0.1124,3296000000.0,3057000000.0,6.46,-0.02,7.2588,-0.02,6.58,1478000000.0,-3000000.0,1475000000.0,0.2943,0.1218,AMP
2013-09-30 00:00:00,10927000000.0,10927000000.0,5872000000.0,2170000000.0,809000000.0,-261000000.0,261000000.0,1909000000.0,482000000.0,1427000000.0,1427000000.0,6.93,1.0,0.2726,0.1747,0.1306,0.1525,3211000000.0,2979000000.0,6.77,0.0044,6.9129,0.0098,6.89,1427000000.0,0.0,1427000000.0,0.2939,0.1581,AMP
2013-06-30 00:00:00,10582000000.0,10582000000.0,5796000000.0,1767000000.0,812000000.0,-261000000.0,261000000.0,1506000000.0,375000000.0,1131000000.0,1218000000.0,5.83,1.0,0.2437,0.1423,0.1151,0.082,2810000000.0,2579000000.0,5.7,-0.0051,5.3847,-0.0052,5.8,1131000000.0,-2000000.0,1129000000.0,0.2655,0.0892,AMP
2013-03-31 00:00:00,10347000000.0,10347000000.0,5715000000.0,1676000000.0,823000000.0,-273000000.0,273000000.0,1403000000.0,383000000.0,1020000000.0,1120000000.0,5.27,1.0,0.2415,0.1356,0.1082,0.0748,2726000000.0,2499000000.0,5.15,-0.0047,4.7801,-0.0048,5.24,1020000000.0,-2000000.0,1018000000.0,0.2635,0.0835,AMP
2012-12-31 00:00:00,10217000000.0,10217000000.0,5687000000.0,1514000000.0,831000000.0,-276000000.0,276000000.0,1238000000.0,335000000.0,903000000.0,1029000000.0,4.73,1.0,0.2295,0.1212,0.1007,0.1339,2570000000.0,2345000000.0,4.63,-0.01,4.1198,-0.01,4.71,903000000.0,-2000000.0,901000000.0,0.2515,0.1473,AMP
