Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2022-09-30 00:00:00,3820200000.0,2145100100.0,1675099800.0,362300000.0,459699700.0,482500000.0,2600000.0,407300000.0,166100000.0,241200000.0,239600000.0,2.23,0.4385,0.1203,0.1066,0.0627,0.1715,1086799700.0,459699900.0,2.2473,2.2568,2.2568,241200000.0,239600000.0,0.2845,0.1836,CBOE
2022-06-30 00:00:00,3643500000.0,2041300100.0,1602199800.0,330500000.0,413599700.0,486800000.0,13500000.0,352100000.0,140700000.0,211400000.0,210000000.0,1.94,0.4397,0.1135,0.0966,0.0576,0.1666,1041499600.0,413599900.0,1.9608,1.9698,1.9698,211400000.0,210000000.0,0.2859,0.1808,CBOE
2022-03-31 00:00:00,3458500000.0,1929800100.0,1528699800.0,308400000.0,840999800.0,1600000.0,25300000.0,788100000.0,286700000.0,501400000.0,499700000.0,4.67,0.442,0.2432,0.2279,0.1445,0.1496,1009299700.0,841000000.0,4.6834,4.6933,4.6933,501400000.0,500000000.0,0.2918,0.1646,CBOE
2021-12-31 00:00:00,3494800000.0,2018700100.0,1476099700.0,298200000.0,805899700.0,-12100000.0,36700000.0,756100000.0,227100000.0,529000000.0,527300000.0,4.92,0.4224,0.2306,0.2164,0.1509,0.2638,975499700.0,805899900.0,4.9347,4.9439,4.9439,529000000.0,528000000.0,0.2791,0.2784,CBOE
2021-09-30 00:00:00,3472600200.0,2079899800.0,1392700300.0,279700000.0,720100500.0,-27700000.0,49800000.0,668800000.0,218400000.0,450400000.0,449100000.0,4.19,0.4011,0.2074,0.1926,0.1293,0.2953,888300500.0,720100400.0,4.2035,4.2111,4.2111,450400000.0,450000000.0,0.2558,0.309,CBOE
2021-06-30 00:00:00,3448500200.0,2133299800.0,1315200300.0,263800000.0,668700500.0,-10300000.0,47600000.0,658400000.0,218500000.0,439900000.0,438700000.0,4.08,0.3814,0.1939,0.1909,0.1272,0.4758,833700500.0,668700400.0,4.0884,4.0948,4.0948,439900000.0,439900000.0,0.2418,0.4907,CBOE
2021-03-31 00:00:00,3516400200.0,2254899800.0,1261500300.0,250000000.0,640400400.0,-4600000.0,42600000.0,635800000.0,187800000.0,448000000.0,446800000.0,4.13,0.3587,0.1821,0.1808,0.1271,0.5255,802600400.0,640400300.0,4.138,4.1444,4.1444,448000000.0,448000000.0,0.2282,0.5388,CBOE
2020-12-31 00:00:00,3427100200.0,2172799800.0,1254300400.0,231500000.0,662200500.0,-1800000.0,37600000.0,660400000.0,192200000.0,468200000.0,467000000.0,4.28,0.366,0.1932,0.1927,0.1363,0.4118,822700500.0,662200400.0,4.2836,4.2914,4.2914,468200000.0,468200000.0,0.2401,0.4257,CBOE
2020-09-30 00:00:00,3180400100.0,1954000000.0,1226400100.0,224200000.0,645500100.0,5100000.0,31900000.0,650600000.0,184500000.0,466100000.0,464900000.0,4.25,0.3856,0.203,0.2046,0.1462,0.4344,808300100.0,645500100.0,4.2305,4.2421,4.2421,466100000.0,466100000.0,0.2542,0.4487,CBOE
2020-06-30 00:00:00,3063100100.0,1834700000.0,1228400100.0,216200000.0,653600100.0,-25500000.0,30600000.0,628100000.0,166000000.0,462100000.0,460800000.0,4.19,0.401,0.2134,0.2051,0.1504,0.2515,819800100.0,653600100.0,4.1668,4.18,4.18,462100000.0,462100000.0,0.2676,0.2623,CBOE
2020-03-31 00:00:00,2815000100.0,1600300000.0,1214700100.0,215600000.0,617100100.0,-26000000.0,33300000.0,591100000.0,158100000.0,433000000.0,435100000.0,3.94,0.4315,0.2192,0.21,0.1546,0.2267,799600100.0,617100100.0,3.8875,3.9004,3.9004,433000000.0,433000000.0,0.284,0.2409,CBOE
2019-12-31 00:00:00,2496100100.0,1359200000.0,1136900100.0,210900000.0,537200100.0,-35800000.0,35900000.0,501400000.0,130600000.0,370800000.0,372700000.0,3.37,0.4555,0.2152,0.2009,0.1493,0.2395,726500100.0,537200100.0,3.3167,3.3285,3.3285,370800000.0,370800000.0,0.2911,0.2535,CBOE
2019-09-30 00:00:00,2646299900.0,1454200000.0,1192099900.0,222200000.0,595599700.0,-31600000.0,37800000.0,564000000.0,140000000.0,424000000.0,425100000.0,3.82,0.4505,0.2251,0.2131,0.1606,0.2216,791399700.0,595599800.0,3.792,3.8026,3.8026,424000000.0,424000000.0,0.2991,0.2349,CBOE
2019-06-30 00:00:00,2546799900.0,1378200000.0,1168599900.0,224200000.0,574299800.0,-34900000.0,39200000.0,539400000.0,135600000.0,403800000.0,404600000.0,3.63,0.4589,0.2255,0.2118,0.1589,0.1807,777499800.0,574299900.0,3.6121,3.623,3.623,403800000.0,403800000.0,0.3053,0.1975,CBOE
2019-03-31 00:00:00,2593699900.0,1424800000.0,1168899900.0,229900000.0,578199800.0,-38600000.0,38500000.0,539600000.0,137300000.0,402300000.0,399400000.0,3.58,0.4507,0.2229,0.208,0.154,0.1752,777699800.0,578199900.0,3.594,3.6063,3.6063,402300000.0,402300000.0,0.2998,0.1886,CBOE
2018-12-31 00:00:00,2768799900.0,1551900000.0,1216899900.0,241800000.0,599399800.0,-28200000.0,38200000.0,571200000.0,146000000.0,425200000.0,422100000.0,3.77,0.4395,0.2165,0.2063,0.1524,0.18,805899800.0,599399900.0,3.7896,3.8032,3.8032,425200000.0,425200000.0,0.2911,0.1931,CBOE
2018-09-30 00:00:00,2641800100.0,1493700000.0,1148100100.0,236300000.0,531600300.0,-32000000.0,38900000.0,499600000.0,-44300000.0,543900000.0,539300000.0,4.81,0.4346,0.2012,0.1891,0.2041,0.1758,744700300.0,531600300.0,4.9748,4.9891,4.9891,543900000.0,543900000.0,0.2819,0.1906,CBOE
2018-06-30 00:00:00,2677300100.0,1530000000.0,1147300100.0,236800000.0,524800200.0,-35600000.0,39800000.0,489200000.0,-29300000.0,518500000.0,514000000.0,4.58,0.4285,0.196,0.1827,0.192,0.1945,744600200.0,524800200.0,4.7438,4.7568,4.7568,518500000.0,518500000.0,0.2781,0.206,CBOE
2018-03-31 00:00:00,2650600100.0,1519900000.0,1130700100.0,230100000.0,513500100.0,-38000000.0,43000000.0,475500000.0,-28000000.0,503500000.0,498900000.0,4.44,0.4266,0.1937,0.1794,0.1882,0.1955,738100100.0,513500100.0,4.6091,4.6223,4.6223,503500000.0,503500000.0,0.2785,0.2096,CBOE
2017-12-31 00:00:00,2229100100.0,1233500000.0,995600100.0,218600000.0,371900100.0,-37500000.0,41300000.0,334400000.0,-66200000.0,400600000.0,396700000.0,3.56,0.4466,0.1668,0.15,0.178,0.1511,567700100.0,371900100.0,3.7264,3.737,3.737,400600000.0,400600000.0,0.2547,0.168,CBOE
2017-09-30 00:00:00,1799200000.0,926200000.0,873000000.0,187200000.0,338099900.0,-32900000.0,36400000.0,305200000.0,116600000.0,188600000.0,186800000.0,1.84,0.4852,0.1879,0.1696,0.1038,0.1113,487499900.0,338099900.0,1.8607,1.8646,1.8646,188600000.0,188600000.0,0.271,0.1303,CBOE
2017-06-30 00:00:00,1356500000.0,617000000.0,739500000.0,163200000.0,284599900.0,-17900000.0,26100000.0,266700000.0,97900000.0,168800000.0,167400000.0,1.81,0.5452,0.2098,0.1966,0.1234,0.1833,386699900.0,284599900.0,1.8234,1.8258,1.8258,168800000.0,168800000.0,0.2851,0.2114,CBOE
2017-03-31 00:00:00,888800000.0,272100000.0,616700000.0,140000000.0,244800000.0,-400000.0,13616000.0,244400000.0,92700000.0,151700000.0,150800000.0,1.83,0.6939,0.2754,0.275,0.1697,0.0806,303300000.0,244800000.0,1.8451,1.8453,1.8453,151700000.0,151700000.0,0.3412,0.1288,CBOE
2016-12-31 00:00:00,703100000.0,136700000.0,566400000.0,124200000.0,298200000.0,8400000.0,5921000.0,306600000.0,120900000.0,185700000.0,184900000.0,2.27,0.8056,0.4241,0.4361,0.263,0.2634,342600000.0,298200000.0,2.2814,2.2814,2.2814,185700000.0,185700000.0,0.4873,0.3266,CBOE
2016-09-30 00:00:00,697501000.0,,608601000.0,58283000.0,299167000.0,12174000.0,647000.0,311341000.0,120361000.0,190980000.0,190356000.0,2.33,0.8725,0.4289,0.4464,0.2729,0.253,345737000.0,299167000.0,2.3351,2.3351,2.3351,190980000.0,190980000.0,0.4957,0.323,CBOE
2016-06-30 00:00:00,715836000.0,,659436000.0,85555000.0,334477000.0,10915000.0,,345392000.0,127396000.0,217996000.0,217275000.0,2.64,0.9212,0.4673,0.4825,0.3035,0.2896,383264000.0,334477000.0,2.6528,2.6528,2.6528,217996000.0,217996000.0,0.5354,0.3554,CBOE
2016-03-31 00:00:00,691461000.0,,664061000.0,102785000.0,329847000.0,5376000.0,,335223000.0,123282000.0,211941000.0,211221000.0,2.56,0.9604,0.477,0.4848,0.3055,0.3233,377634000.0,329847000.0,2.5651,2.5651,2.5651,211941000.0,211941000.0,0.5461,0.3822,CBOE
2015-12-31 00:00:00,663800000.0,,663800000.0,114900000.0,319900000.0,4100000.0,,324000000.0,119000000.0,205000000.0,204100000.0,2.46,1.0,0.4819,0.4881,0.3075,0.3103,366200000.0,319900000.0,2.4669,2.4669,2.4669,205000000.0,205000000.0,0.5517,0.3695,CBOE
2015-09-30 00:00:00,645087000.0,,645087000.0,210083000.0,330996000.0,-2691000.0,670000.0,328305000.0,124342000.0,203963000.0,203064000.0,2.43,1.0,0.5131,0.5089,0.3148,0.3652,376206000.0,330996000.0,2.4424,2.4424,2.4424,203963000.0,203963000.0,0.5832,0.4228,CBOE
2015-06-30 00:00:00,606962000.0,,606962000.0,203498000.0,304970000.0,-3303000.0,,301667000.0,116854000.0,184813000.0,183991000.0,2.19,1.0,0.5025,0.497,0.3031,0.3423,348135000.0,304970000.0,2.1952,2.1952,2.1952,184813000.0,184813000.0,0.5736,0.4074,CBOE
2015-03-31 00:00:00,602179000.0,,602179000.0,207510000.0,301316000.0,-3885000.0,,297431000.0,114482000.0,182949000.0,181943000.0,2.15,1.0,0.5004,0.4939,0.3021,0.3442,343107000.0,301316000.0,2.1576,2.1576,2.1576,182949000.0,182949000.0,0.5698,0.4198,CBOE
2014-12-31 00:00:00,617225000.0,,617225000.0,216079000.0,313801000.0,-4104000.0,,309697000.0,119983000.0,189714000.0,188392000.0,2.21,1.0,0.5084,0.5018,0.3052,0.3443,353801000.0,313801000.0,2.2214,2.2214,2.2214,189714000.0,189714000.0,0.5732,0.4255,CBOE
2014-09-30 00:00:00,592567000.0,,592567000.0,210455000.0,299437000.0,-1534000.0,,297903000.0,111423000.0,186480000.0,184914000.0,2.15,1.0,0.5053,0.5027,0.3121,0.3159,337493000.0,299437000.0,2.166,2.166,2.166,186480000.0,186480000.0,0.5695,0.3984,CBOE
2014-06-30 00:00:00,580400000.0,,580400000.0,207109000.0,292780000.0,-1780000.0,,291000000.0,111530000.0,179470000.0,177723000.0,2.05,1.0,0.5044,0.5014,0.3062,0.3185,328968000.0,292780000.0,2.0691,2.0691,2.0691,179470000.0,179470000.0,0.5668,0.3941,CBOE
2014-03-31 00:00:00,587230000.0,,587230000.0,207761000.0,298422000.0,-1932000.0,,296490000.0,113840000.0,182650000.0,180602000.0,2.07,1.0,0.5082,0.5049,0.3075,0.3116,333335000.0,298422000.0,2.0968,2.0968,2.0968,182650000.0,182650000.0,0.5676,0.3702,CBOE
2013-12-31 00:00:00,572050000.0,,572050000.0,202363000.0,285814000.0,-2158000.0,,283656000.0,107657000.0,175999000.0,173863000.0,1.99,1.0,0.4996,0.4959,0.3039,0.3421,320416000.0,285814000.0,2.0152,2.0152,2.0152,175999000.0,175999000.0,0.5601,0.3922,CBOE
2013-09-30 00:00:00,560298000.0,,560298000.0,196495000.0,272967000.0,-2066000.0,,270901000.0,101287000.0,169614000.0,167466000.0,1.92,1.0,0.4872,0.4835,0.2989,0.3731,304666000.0,272967000.0,1.9403,1.9403,1.9403,169614000.0,169614000.0,0.5438,0.4141,CBOE
2013-06-30 00:00:00,551874000.0,,551874000.0,194342000.0,265401000.0,-1876000.0,,263525000.0,89509000.0,174016000.0,171754000.0,1.97,1.0,0.4809,0.4775,0.3112,0.3751,297252000.0,265401000.0,1.9928,1.9928,1.9928,174016000.0,174016000.0,0.5386,0.418,CBOE
2013-03-31 00:00:00,533651000.0,,533651000.0,186979000.0,256112000.0,-1814000.0,,254298000.0,87947000.0,166351000.0,164180000.0,1.89,1.0,0.4799,0.4765,0.3077,0.382,287654000.0,256112000.0,1.906,1.906,1.906,166351000.0,166351000.0,0.539,0.4357,CBOE
2012-12-31 00:00:00,512338000.0,,512338000.0,179940000.0,244097000.0,-1546000.0,,242551000.0,85156000.0,157395000.0,155254000.0,1.78,1.0,0.4764,0.4734,0.303,0.3327,275670000.0,244097000.0,1.7996,1.7996,1.7996,157395000.0,157395000.0,0.5381,0.3914,CBOE
